rupeevest_code,fund_name,amfi_code
49091,HSBC India Export Opportunities Fund-Reg(G),
49110,Baroda BNP Paribas Childrens Fund-Reg(G),
49111,Helios Mid Cap Fund-Reg(G),
49112,Shriram Multi Sector Rotation Fund-Reg(G),
49115,Nippon India Active Momentum Fund-Reg(G),
49117,WOC ESG Best-In-Class Strategy Fund-Reg(G),
49120,LIC MF Manufacturing Fund-Reg(G),
49129,WOC Digital Bharat Fund-Reg(G),
49152,Samco Multi Cap Fund-Reg(G),
49179,Quantum Ethical Fund-Reg(G),
49185,Kotak Energy Opportunities Fund-Reg(G),
49192,WOC Quality Equity Fund-Reg(G),
49209,Aditya Birla SL Conglomerate Fund-Reg(G),
49235,Tata India Innovation Fund-Reg(G),
49245,Helios Large & Mid Cap Fund-Reg(G),
49313,Motilal Oswal Innovation Opportunities Fund-Reg(G),
49315,Invesco India Business Cycle Fund-Reg(G),
49317,Kotak Nifty Commodities Index Fund-Reg(G),
49323,Bank of India Consumption Fund-Reg(G),
49324,ITI Bharat Consumption Fund-Reg(G),
49329,Edelweiss Consumption Fund-Reg(G),
49345,Bajaj Finserv Consumption Fund-Reg(G),
49355,Aditya Birla SL BSE India Infrastructure Index Fund-Reg(G),
49376,Axis Momentum Fund-Reg(G),
49400,Groww Multicap Fund-Reg(G),
49421,Bajaj Finserv Healthcare Fund-Reg(G),
49453,Mirae Asset Small Cap Fund-Reg(G),
49457,Bajaj Finserv ELSS Tax Saver Fund-Reg(G),
49459,Bajaj Finserv Multi Cap,153307
49460,Mahindra Manulife Value Fund-Reg(G),
49503,Nippon India MNC Fund-Reg(G),
49506,Samco Large Cap Fund-Reg(G),
49513,WOC Equity Savings Fund-Reg(G),
49517,Motilal Oswal Active Momentum Fund-Reg(G),
49521,ICICI Pru Rural Opportunities Fund-Reg(G),
49528,UTI Quant Fund-Reg(G),
49558,Baroda BNP Paribas Energy Opportunities Fund-Reg(G),
49575,HSBC Financial Services Fund-Reg(G),
49584,UTI Nifty India Manufacturing Index Fund-Reg(G),
49691,HDFC Innovation Fund-Reg(G),
